KIDNAPPING,73
WEAPON LAWS,502
SECONDARY CODES,389
WARRANTS,2078
PROSTITUTION,89
EMBEZZLEMENT,22
"SEX OFFENSES, NON FORCIBLE",4
LOITERING,11
SUICIDE,16
DRIVING UNDER THE INFLUENCE,71
ROBBERY,988
BURGLARY,842
SUSPICIOUS OCC,1239
FAMILY OFFENSES,21
BRIBERY,23
FORGERY/COUNTERFEITING,142
BAD CHECKS,4
DRUNKENNESS,180
GAMBLING,11
OTHER OFFENSES,4270
FRAUD,621
ARSON,70
"SEX OFFENSES, FORCIBLE",257
DRUG/NARCOTIC,1742
TRESPASS,331
LARCENY/THEFT,4437
VANDALISM,1042
NON-CRIMINAL,3762
EXTORTION,9
LIQUOR LAWS,50
VEHICLE THEFT,1308
STOLEN PROPERTY,184
ASSAULT,3215
MISSING PERSON,761
DISORDERLY CONDUCT,184
RUNAWAY,12
