category,count
KIDNAPPING,21
WEAPON LAWS,161
SECONDARY CODES,132
WARRANTS,909
LOITERING,3
EMBEZZLEMENT,11
"SEX OFFENSES, NON FORCIBLE",1
FRAUD,230
DRIVING UNDER THE INFLUENCE,11
ROBBERY,380
BURGLARY,167
SUSPICIOUS OCC,463
FAMILY OFFENSES,1
ASSAULT,1200
FORGERY/COUNTERFEITING,36
DRUNKENNESS,37
GAMBLING,6
OTHER OFFENSES,1355
SUICIDE,5
ARSON,20
"SEX OFFENSES, FORCIBLE",73
DRUG/NARCOTIC,1088
TRESPASS,105
LARCENY/THEFT,2035
VANDALISM,297
NON-CRIMINAL,1422
EXTORTION,3
LIQUOR LAWS,18
VEHICLE THEFT,113
STOLEN PROPERTY,52
BRIBERY,3
RUNAWAY,2
MISSING PERSON,181
DISORDERLY CONDUCT,41
PROSTITUTION,23
BAD CHECKS,0
