cluster3,cluster4,cluster5,Latitude,Longitude
1,0,1,40.7027943,-73.8321306
0,3,0,40.7969865,-73.9317424
0,3,4,40.8231105,-73.8807524
0,1,0,40.7259197,-73.8953397
1,0,1,40.6870382,-73.8430019
0,3,4,40.8687708,-73.8317333
2,1,2,40.6901751,-73.9552649
0,3,4,40.8379085,-73.9383428
0,3,4,40.9010203,-73.9040725
2,2,3,40.5811403,-74.0887552
0,3,0,40.8088424,-73.9658127
2,2,2,40.6414667,-73.9997586
1,0,1,40.7330348,-73.7627219
0,3,4,40.8736719,-73.8792298
0,3,0,40.804827,-73.9662157
0,1,0,40.7399663,-73.8942315
2,1,2,40.6943646,-73.9579956
2,2,2,40.6262532,-73.9516189
1,0,1,40.6653874,-73.7449215
2,2,3,40.574553,-74.1161545
0,1,0,40.7598419,-73.9841751
2,2,2,40.6254928,-73.9585397
0,1,0,40.717996,-73.9021017
0,3,4,40.8571285,-73.8807926
1,0,1,40.6999089,-73.8537765
2,1,0,40.718803,-74.0104003
2,1,2,40.6286428,-73.9201845
2,1,2,40.6916827,-73.9993335
2,2,2,40.5863445,-73.9314464
1,0,1,40.7425847,-73.7297388
2,1,2,40.6912281,-73.9821324
0,1,0,40.759308,-73.9652931
1,0,1,40.7542523,-73.8278248
2,1,2,40.6945587,-73.9432427
2,2,3,40.6407689,-74.0947511
0,1,0,40.7604196,-73.9758293
2,2,3,40.5710351,-74.1399482
2,1,2,40.660937,-73.9832362
1,0,1,40.7220322,-73.7978274
2,1,0,40.7162809,-74.0045344
1,0,1,40.6748395,-73.8234297
1,0,1,40.7343762,-73.8734167
2,1,2,40.6692344,-73.997143
1,0,1,40.7349858,-73.8506577
1,0,1,40.7396319,-73.8248133
0,1,0,40.7520589,-74.0009817
0,1,0,40.7533681,-73.974648
0,3,4,40.8940296,-73.8964893
0,1,0,40.7581273,-73.9285011
1,0,1,40.6675224,-73.7806252
2,1,2,40.6814832,-73.9573511
2,1,2,40.701403,-73.9185718
2,1,2,40.6848891,-74.0010955
0,1,0,40.7616156,-73.9728508
2,1,0,40.7216195,-73.9954652
0,3,4,40.8287418,-73.8772987
0,1,0,40.7554056,-73.9794839
2,1,0,40.7004847,-73.9933605
2,1,0,40.7241363,-73.9926041
0,1,0,40.7430998,-73.9740095
2,2,3,40.5471093,-74.1661974
2,1,2,40.6541334,-73.9123297
0,1,0,40.732009,-73.957943
2,2,2,40.6037285,-73.9967985
0,1,0,40.7730328,-73.9821971
0,3,4,40.8794193,-73.9057948
2,1,2,40.6867007,-73.9981899
1,0,1,40.6664524,-73.757631
1,1,0,40.7182055,-73.8937573
0,3,4,40.8523802,-73.9314939
0,3,4,40.8515013,-73.9425233
2,2,2,40.6176447,-74.0030257
1,0,1,40.7129385,-73.7826256
1,0,1,40.7660078,-73.835213
1,1,2,40.693843,-73.8969119
1,0,1,40.6993847,-73.7944989
0,3,4,40.8042214,-73.9113374
2,1,0,40.706355,-73.9318965
2,2,2,40.6095393,-73.9565003
0,1,0,40.7626784,-73.9543321
2,1,2,40.6575333,-73.8979663
0,1,0,40.7533681,-73.974648
1,0,1,40.6671159,-73.8346499
2,1,2,40.6521449,-73.9591502
2,1,2,40.6803904,-73.949557
0,3,4,40.8760226,-73.8338592
2,1,0,40.700105,-73.9472483
0,3,4,40.8470671,-73.8465712
1,0,1,40.7165284,-73.8230706
0,3,4,40.84468,-73.9388533
2,1,0,40.7274668,-73.9794708
1,1,2,40.7010548,-73.9047268
1,0,1,40.6898805,-73.7287165
2,2,2,40.5775009,-73.9472624
0,3,4,40.7631514,-73.8858017
2,1,2,40.6986988,-73.9347606
0,1,0,40.7567104,-73.9864571
0,1,0,40.7139009,-73.9088099
2,1,0,40.7090991,-73.9962116
1,0,1,40.5972302,-73.7623582
0,3,4,40.8853043,-73.8295323
